SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,D,826909,OPTSTK,0,GODFRYPHLP-Aug2026-2240-CE,275.0,GODFRYPHLP 27 AUG 2240 CALL,2026-08-27 15:30:00,2240.0,CE,5.0,M,OPTSTK,,GDPIOPT
BSE,D,826910,OPTSTK,0,COALINDIA-Aug2026-495-PE,1350.0,COALINDIA 27 AUG 495 PUT,2026-08-27 15:30:00,495.0,PE,5.0,M,OPTSTK,,COALOPT
BSE,D,826911,OPTSTK,0,DABUR-Aug2026-450-PE,1250.0,DABUR 27 AUG 450 PUT,2026-08-27 15:30:00,450.0,PE,5.0,M,OPTSTK,,DABUOPT
BSE,D,826912,OPTIDX,0,FOCIT-Aug2026-28250-CE,45.0,FOCIT 27 AUG 28250 CALL,2026-08-27 15:30:00,28250.0,CE,5.0,M,OPTIDX,,BITOPT
BSE,D,826913,OPTIDX,0,FOCIT-Aug2026-32500-CE,45.0,FOCIT 27 AUG 32500 CALL,2026-08-27 15:30:00,32500.0,CE,5.0,M,OPTIDX,,BITOPT
BSE,D,826914,OPTSTK,0,360ONE-Aug2026-1040-PE,500.0,360ONE 27 AUG 1040 PUT,2026-08-27 15:30:00,1040.0,PE,5.0,M,OPTSTK,,ONWLOPT
BSE,D,826915,OPTSTK,0,VMM-Aug2026-127-CE,4850.0,VMM 27 AUG 127 CALL,2026-08-27 15:30:00,127.0,CE,5.0,M,OPTSTK,,VMMLOPT
BSE,D,826916,OPTSTK,0,HINDZINC-Aug2026-680-CE,1225.0,HINDZINC 27 AUG 680 CALL,2026-08-27 15:30:00,680.0,CE,5.0,M,OPTSTK,,HNZLOPT
BSE,D,826917,OPTSTK,0,BHEL-Aug2026-412.5-PE,2625.0,BHEL 27 AUG 412.5 PUT,2026-08-27 15:30:00,412.5,PE,5.0,M,OPTSTK,,BHELOPT
BSE,D,826918,OPTSTK,0,KEI-Aug2026-5350-CE,175.0,KEI 27 AUG 5350 CALL,2026-08-27 15:30:00,5350.0,CE,5.0,M,OPTSTK,,KEILOPT
BSE,D,826919,OPTSTK,0,MPHASIS-Aug2026-2278-PE,275.0,MPHASIS 27 AUG 2278 PUT,2026-08-27 15:30:00,2278.0,PE,5.0,M,OPTSTK,,MPHSOPT
BSE,D,826920,OPTSTK,0,KPITTECH-Aug2026-760-PE,775.0,KPITTECH 27 AUG 760 PUT,2026-08-27 15:30:00,760.0,PE,5.0,M,OPTSTK,,KPITOPT
BSE,D,826921,OPTSTK,0,ASTRAL-Aug2026-1700-CE,425.0,ASTRAL 27 AUG 1700 CALL,2026-08-27 15:30:00,1700.0,CE,5.0,M,OPTSTK,,ASTROPT
